join_key,experiment,experiment_date,model.loss,model.model_architecture,model.pos_weight,model.alpha,model.lr,dataloader.batch_size,training.max_epochs,threshold,TN,FP,FN,TP,precision,recall,TPR,FPR,f1score,accuracy,prevalence,fp_per_mneg,metrics_path,config_path
2025-10-12-14-30-07-1530468,2025-10-12_14-30-07_1530468,2025-10-12_14-30-07_1530468,BCEWithLogitsLoss,segformer,1,0.5,0.0001,4,150,0.88,89268403,194193,59322,131330,0.4034430682659149,0.6888467073440552,0.6888467073440552,0.0021706614643335342,0.5088584281960603,0.9971722719962137,0.0021265487224735014,2170.6613566188043,evaluation_outputs_v2/2025-10-12_14-30-07_1530468/test_metrics.json,experiments_v2/2025-10-12_14-30-07_1530468/.hydra/config.yaml
2025-10-12-14-30-07-1530468,2025-10-12_14-30-07_1530468,2025-10-12_14-30-07_1530468,BCEWithLogitsLoss,segformer,1,0.5,0.0001,4,150,0.87,89261123,201473,57214,133438,0.3984282314777374,0.6999034881591797,0.6999034881591797,0.002252036239951849,0.5077906865596972,0.9971145830656353,0.0021265487224735014,2252.0361470395965,evaluation_outputs_v2/2025-10-12_14-30-07_1530468/test_metrics.json,experiments_v2/2025-10-12_14-30-07_1530468/.hydra/config.yaml
2025-10-12-14-30-07-1530468,2025-10-12_14-30-07_1530468,2025-10-12_14-30-07_1530468,BCEWithLogitsLoss,segformer,1,0.5,0.0001,4,150,0.86,89254001,208595,55333,135319,0.3934675455093384,0.709769606590271,0.709769606590271,0.002331644995138049,0.5062761065482823,0.9970561245031524,0.0021265487224735014,2331.6448362397177,evaluation_outputs_v2/2025-10-12_14-30-07_1530468/test_metrics.json,experiments_v2/2025-10-12_14-30-07_1530468/.hydra/config.yaml
2025-10-12-14-30-07-1530468,2025-10-12_14-30-07_1530468,2025-10-12_14-30-07_1530468,BCEWithLogitsLoss,segformer,1,0.5,0.0001,4,150,0.85,89247311,215285,53647,137005,0.3888983428478241,0.7186129689216614,0.7186129689216614,0.002406424842774868,0.504676367261803,0.9970003094589501,0.0021265487224735014,2406.4246917225605,evaluation_outputs_v2/2025-10-12_14-30-07_1530468/test_metrics.json,experiments_v2/2025-10-12_14-30-07_1530468/.hydra/config.yaml
2025-10-12-14-30-07-1530468,2025-10-12_14-30-07_1530468,2025-10-12_14-30-07_1530468,BCEWithLogitsLoss,segformer,1,0.5,0.0001,4,150,0.8400000000000001,89240706,221890,51996,138656,0.384572297334671,0.7272727489471436,0.7272727489471436,0.0024802545085549355,0.5031077896813562,0.9969450521190264,0.0021265487224735014,2480.254429460106,evaluation_outputs_v2/2025-10-12_14-30-07_1530468/test_metrics.json,experiments_v2/2025-10-12_14-30-07_1530468/.hydra/config.yaml
2025-10-12-14-30-07-1530468,2025-10-12_14-30-07_1530468,2025-10-12_14-30-07_1530468,BCEWithLogitsLoss,segformer,1,0.5,0.0001,4,150,0.8300000000000001,89234343,228253,50484,140168,0.3804560601711273,0.7352033853530884,0.7352033853530884,0.0025513791479170322,0.5014300457689979,0.9968909436499166,0.0021265487224735014,2551.3791260875105,evaluation_outputs_v2/2025-10-12_14-30-07_1530468/test_metrics.json,experiments_v2/2025-10-12_14-30-07_1530468/.hydra/config.yaml
2025-10-12-14-30-07-1530468,2025-10-12_14-30-07_1530468,2025-10-12_14-30-07_1530468,BCEWithLogitsLoss,segformer,1,0.5,0.0001,4,150,0.8200000000000001,89228201,234395,49066,141586,0.3765775263309479,0.742641031742096,0.742641031742096,0.002620033686980605,0.49974497057446005,0.9968382517496744,0.0021265487224735014,2620.0335165771403,evaluation_outputs_v2/2025-10-12_14-30-07_1530468/test_metrics.json,experiments_v2/2025-10-12_14-30-07_1530468/.hydra/config.yaml
2025-10-12-14-30-07-1530468,2025-10-12_14-30-07_1530468,2025-10-12_14-30-07_1530468,BCEWithLogitsLoss,segformer,1,0.5,0.0001,4,150,0.81,89222150,240446,47734,142918,0.37279975414276123,0.7496275901794434,0.7496275901794434,0.0026876707561314106,0.4979582557947819,0.9967856156198602,0.0021265487224735014,2687.6707221865104,evaluation_outputs_v2/2025-10-12_14-30-07_1530468/test_metrics.json,experiments_v2/2025-10-12_14-30-07_1530468/.hydra/config.yaml
2025-10-12-14-30-07-1530468,2025-10-12_14-30-07_1530468,2025-10-12_14-30-07_1530468,BCEWithLogitsLoss,segformer,1,0.5,0.0001,4,150,0.8,89216308,246288,46496,144156,0.36921045184135437,0.7561210989952087,0.7561210989952087,0.002752971835434437,0.49615211161416595,0.9967342622098867,0.0021265487224735014,2752.9717559280307,evaluation_outputs_v2/2025-10-12_14-30-07_1530468/test_metrics.json,experiments_v2/2025-10-12_14-30-07_1530468/.hydra/config.yaml
2025-10-12-14-30-07-1530468,2025-10-12_14-30-07_1530468,2025-10-12_14-30-07_1530468,BCEWithLogitsLoss,segformer,1,0.5,0.0001,4,150,0.79,89210416,252180,45306,145346,0.36562639474868774,0.7623628377914429,0.7623628377914429,0.0028188317082822323,0.4942245330558102,0.9966818156995272,0.0021265487224735014,2818.8316824609024,evaluation_outputs_v2/2025-10-12_14-30-07_1530468/test_metrics.json,experiments_v2/2025-10-12_14-30-07_1530468/.hydra/config.yaml
2025-10-12-14-30-07-1530468,2025-10-12_14-30-07_1530468,2025-10-12_14-30-07_1530468,BCEWithLogitsLoss,segformer,1,0.5,0.0001,4,150,0.78,89204667,257929,44228,146424,0.36211922764778137,0.7680171132087708,0.7680171132087708,0.002883093198761344,0.49217736621875363,0.9966297149658203,0.0021265487224735014,2883.0931756105088,evaluation_outputs_v2/2025-10-12_14-30-07_1530468/test_metrics.json,experiments_v2/2025-10-12_14-30-07_1530468/.hydra/config.yaml
2025-10-12-14-30-07-1530468,2025-10-12_14-30-07_1530468,2025-10-12_14-30-07_1530468,BCEWithLogitsLoss,segformer,1,0.5,0.0001,4,150,0.77,89199049,263547,43088,147564,0.3589395582675934,0.7739965915679932,0.7739965915679932,0.0029458904173225164,0.490438926709781,0.9965797669706289,0.0021265487224735014,2945.8903696467737,evaluation_outputs_v2/2025-10-12_14-30-07_1530468/test_metrics.json,experiments_v2/2025-10-12_14-30-07_1530468/.hydra/config.yaml
2025-10-12-14-30-07-1530468,2025-10-12_14-30-07_1530468,2025-10-12_14-30-07_1530468,BCEWithLogitsLoss,segformer,1,0.5,0.0001,4,150,0.76,89193657,268939,41997,148655,0.3559797406196594,0.7797190546989441,0.7797190546989441,0.0030061614234000444,0.4887989456219677,0.9965317932485837,0.0021265487224735014,3006.16136826613,evaluation_outputs_v2/2025-10-12_14-30-07_1530468/test_metrics.json,experiments_v2/2025-10-12_14-30-07_1530468/.hydra/config.yaml
2025-10-12-14-30-07-1530468,2025-10-12_14-30-07_1530468,2025-10-12_14-30-07_1530468,BCEWithLogitsLoss,segformer,1,0.5,0.0001,4,150,0.75,89188402,274194,41007,149645,0.35307037830352783,0.7849117517471313,0.7849117517471313,0.003064901102334261,0.4870534990068913,0.9964842210736191,0.0021265487224735014,3064.9010006371827,evaluation_outputs_v2/2025-10-12_14-30-07_1530468/test_metrics.json,experiments_v2/2025-10-12_14-30-07_1530468/.hydra/config.yaml
2025-10-12-14-30-07-1530468,2025-10-12_14-30-07_1530468,2025-10-12_14-30-07_1530468,BCEWithLogitsLoss,segformer,1,0.5,0.0001,4,150,0.74,89183293,279303,40067,150585,0.35028889775276184,0.7898422479629517,0.7898422479629517,0.0031220088712871075,0.48533534317900845,0.9964377196908695,0.0021265487224735014,3122.0086660574884,evaluation_outputs_v2/2025-10-12_14-30-07_1530468/test_metrics.json,experiments_v2/2025-10-12_14-30-07_1530468/.hydra/config.yaml
2025-10-12-14-30-07-1530468,2025-10-12_14-30-07_1530468,2025-10-12_14-30-07_1530468,BCEWithLogitsLoss,segformer,1,0.5,0.0001,4,150,0.73,89178156,284440,39174,151478,0.34749194979667664,0.7945261597633362,0.7945261597633362,0.003179429564625025,0.48351500227434696,0.9963903817517018,0.0021265487224735014,3179.429311440951,evaluation_outputs_v2/2025-10-12_14-30-07_1530468/test_metrics.json,experiments_v2/2025-10-12_14-30-07_1530468/.hydra/config.yaml
2025-10-12-14-30-07-1530468,2025-10-12_14-30-07_1530468,2025-10-12_14-30-07_1530468,BCEWithLogitsLoss,segformer,1,0.5,0.0001,4,150,0.72,89173093,289503,38320,152332,0.34477123618125916,0.7990055084228516,0.7990055084228516,0.00323602301068604,0.48169211020273084,0.9963434342055293,0.0021265487224735014,3236.022795493214,evaluation_outputs_v2/2025-10-12_14-30-07_1530468/test_metrics.json,experiments_v2/2025-10-12_14-30-07_1530468/.hydra/config.yaml
2025-10-12-14-30-07-1530468,2025-10-12_14-30-07_1530468,2025-10-12_14-30-07_1530468,BCEWithLogitsLoss,segformer,1,0.5,0.0001,4,150,0.7100000000000001,89168221,294375,37500,153152,0.34221845865249634,0.803306519985199,0.803306519985199,0.003290481399744749,0.479965647578921,0.9962982378507915,0.0021265487224735014,3290.4813090825132,evaluation_outputs_v2/2025-10-12_14-30-07_1530468/test_metrics.json,experiments_v2/2025-10-12_14-30-07_1530468/.hydra/config.yaml
2025-10-12-14-30-07-1530468,2025-10-12_14-30-07_1530468,2025-10-12_14-30-07_1530468,BCEWithLogitsLoss,segformer,1,0.5,0.0001,4,150,0.7000000000000001,89163471,299125,36740,153912,0.3397338390350342,0.8072928786277771,0.8072928786277771,0.003343576332554221,0.47821851864218484,0.9962537330493593,0.0021265487224735014,3343.5761242609146,evaluation_outputs_v2/2025-10-12_14-30-07_1530468/test_metrics.json,experiments_v2/2025-10-12_14-30-07_1530468/.hydra/config.yaml
2025-10-12-14-30-07-1530468,2025-10-12_14-30-07_1530468,2025-10-12_14-30-07_1530468,BCEWithLogitsLoss,segformer,1,0.5,0.0001,4,150,0.6900000000000001,89158664,303932,35967,154685,0.3372857868671417,0.8113473653793335,0.8113473653793335,0.0033973082900047302,0.4764897025988492,0.9962087374681617,0.0021265487224735014,3397.308077221457,evaluation_outputs_v2/2025-10-12_14-30-07_1530468/test_metrics.json,experiments_v2/2025-10-12_14-30-07_1530468/.hydra/config.yaml
2025-10-12-14-30-07-1530468,2025-10-12_14-30-07_1530468,2025-10-12_14-30-07_1530468,BCEWithLogitsLoss,segformer,1,0.5,0.0001,4,150,0.68,89153935,308661,35200,155452,0.3349442780017853,0.8153704404830933,0.8153704404830933,0.0034501682966947556,0.4748329463285006,0.9961645449811255,0.0021265487224735014,3450.1681574274908,evaluation_outputs_v2/2025-10-12_14-30-07_1530468/test_metrics.json,experiments_v2/2025-10-12_14-30-07_1530468/.hydra/config.yaml
2025-10-12-14-30-07-1530468,2025-10-12_14-30-07_1530468,2025-10-12_14-30-07_1530468,BCEWithLogitsLoss,segformer,1,0.5,0.0001,4,150,0.67,89149217,313379,34554,156098,0.332493394613266,0.8187587857246399,0.8187587857246399,0.0035029053688049316,0.47293180883291436,0.9961191255446763,0.0021265487224735014,3502.9052812194273,evaluation_outputs_v2/2025-10-12_14-30-07_1530468/test_metrics.json,experiments_v2/2025-10-12_14-30-07_1530468/.hydra/config.yaml
