join_key,experiment,experiment_date,model.loss,model.model_architecture,model.pos_weight,model.alpha,model.lr,dataloader.batch_size,training.max_epochs,metrics.FPR_no_plume,metrics.accuracy,metrics.accuracy_easy,metrics.accuracy_hard,metrics.balanced_accuracy,metrics.balanced_accuracy_easy,metrics.balanced_accuracy_hard,metrics.cohen_kappa,metrics.cohen_kappa_easy,metrics.cohen_kappa_hard,metrics.f1score,metrics.f1score_easy,metrics.f1score_hard,metrics.frac_total_easy,metrics.frac_total_hard,metrics.iou,metrics.iou_easy,metrics.iou_hard,metrics.precision,metrics.precision_easy,metrics.precision_hard,metrics.recall,metrics.recall_easy,metrics.recall_hard
2025-10-12-14-30-07-1530468,2025-10-12_14-30-07_1530468,2025-10-12_14-30-07_1530468,BCEWithLogitsLoss,segformer,1,0.5,0.0001,4,150,0.005780007498604911,0.9953871369361877,0.9931161942020539,0.9974065107457778,0.931955099105835,0.9389719685183155,0.9041040073287189,0.4428444504737854,0.8243813666605444,0.4004176444327189,0.44460737705230713,0.8278796717649556,0.40138547196685226,0.09064327485380116,0.39766081871345027,0.2858489751815796,0.7063094563094563,0.25108333805817223,0.2988097071647644,0.7794566659521092,0.2667314873771705,0.8682520985603333,0.8827176694442622,0.8106009099942472
2025-10-12-14-30-14-1530469,2025-10-12_14-30-14_1530469,2025-10-12_14-30-14_1530469,BCEWithLogitsLoss,segformer,1,0.5,0.0001,8,150,0.005468270438058036,0.995206892490387,0.9924294256394909,0.9967086174908806,0.9236841201782227,0.9288459762382533,0.9026053540516104,0.4286668300628662,0.8065713192573436,0.34394920679450136,0.43048274517059326,0.8104192089141983,0.3450562330812379,0.09064327485380116,0.39766081871345027,0.2742771506309509,0.681264538724167,0.2085002765524033,0.2880151569843292,0.7640465759473812,0.2193467354512748,0.8518557548522949,0.8627845941867331,0.8082997751163642
2025-10-12-14-30-17-1530470,2025-10-12_14-30-17_1530470,2025-10-12_14-30-17_1530470,BCEWithLogitsLoss,segformer,1,0.5,0.0001,16,150,0.005355311802455357,0.9955138564109802,0.9935075083086568,0.9970895823310403,0.9344576597213745,0.9455235417951642,0.8903362378620102,0.45115965604782104,0.8347479959510722,0.3650107124895765,0.4528886079788208,0.8380466512574475,0.3660546815335268,0.09064327485380116,0.39766081871345027,0.29273173213005066,0.7212394991282295,0.22403117007433554,0.3057350218296051,0.7873899024623779,0.2388286973922333,0.8731405735015869,0.8956695754871727,0.7833533810993148
2025-10-12-14-30-25-1530471,2025-10-12_14-30-25_1530471,2025-10-12_14-30-25_1530471,BCEWithLogitsLoss,segformer,5,0.5,0.0001,4,150,0.005848846435546875,0.994618833065033,0.99034180179719,0.9961954565609202,0.9453564286231995,0.9420536945150528,0.9540553750886596,0.41262465715408325,0.7711257640949171,0.33841395742579294,0.4145447909832001,0.7759760925471885,0.3395689898625948,0.09064327485380116,0.39766081871345027,0.2614673972129822,0.6339550133150513,0.20450653341778685,0.269661545753479,0.6867298841574004,0.2086324909056098,0.8958836197853088,0.8918837346630798,0.9118246953611213
2025-10-12-14-30-26-1530472,2025-10-12_14-30-26_1530472,2025-10-12_14-30-26_1530472,BCEWithLogitsLoss,segformer,5,0.5,0.0001,8,150,0.008535112653459822,0.9928082823753357,0.9877512531895791,0.9956896164838005,0.9631136059761047,0.9631818820911952,0.9558396355494856,0.3534182906150818,0.7357025555355636,0.31189407618355924,0.3556442856788635,0.7416953198998326,0.3131179489013249,0.09064327485380116,0.39766081871345027,0.21628186106681824,0.5894401663043882,0.185619349436666,0.21967783570289612,0.6134838695829488,0.18883773088493763,0.9332920908927917,0.9376550095138114,0.9159039799173684
2025-10-12-14-33-17-1530473,2025-10-12_14-33-17_1530473,2025-10-12_14-33-17_1530473,BCEWithLogitsLoss,segformer,5,0.5,0.0001,16,150,0.005379856654575893,0.9947457313537598,0.9912946147303427,0.9956939641167136,0.9533181190490723,0.9520803432126494,0.9544965708987048,0.4227394461631775,0.7926498481379214,0.3114775400848392,0.42462286353111267,0.7970264361418268,0.3127017455890188,0.09064327485380116,0.39766081871345027,0.2695372700691223,0.6625469254582834,0.18532689450222883,0.2767609655857086,0.7081956681350955,0.18864958594648906,0.9117134809494019,0.9113378387244931,0.9132106061398463
2025-10-12-14-49-04-1530474,2025-10-12_14-49-04_1530474,2025-10-12_14-49-04_1530474,BCEWithLogitsLoss,segformer,15,0.5,0.0001,4,150,0.00829897199358259,0.9923092126846313,0.9860967820690524,0.994507817661061,0.9807166457176208,0.9798668525280996,0.9732064132943818,0.346640944480896,0.7175706387720873,0.2696916947440797,0.34891948103904724,0.7242234448149107,0.2710353788248258,0.09064327485380116,0.39766081871345027,0.2113279551267624,0.567672639751434,0.15676166851847068,0.21276281774044037,0.5766196110135103,0.15801445532090377,0.969074547290802,0.9733941342431599,0.9518592123842895
2025-10-12-14-51-50-1530475,2025-10-12_14-51-50_1530475,2025-10-12_14-51-50_1530475,BCEWithLogitsLoss,segformer,15,0.5,0.0001,8,150,0.007559029715401786,0.9923202991485596,0.9822417228452621,0.9944623498355641,0.9750826358795166,0.9706653766497375,0.9744113504584593,0.3443019390106201,0.661133649848801,0.2685702185432082,0.3465861678123474,0.6694064931137806,0.2699174605052956,0.09064327485380116,0.39766081871345027,0.20961852371692657,0.5030886515298638,0.15601420992557316,0.21157392859458923,0.514251321652576,0.1571881433752272,0.9577712416648865,0.958637884653238,0.9543172428220281
2025-10-12-15-06-29-1530476,2025-10-12_15-06-29_1530476,2025-10-12_15-06-29_1530476,BCEWithLogitsLoss,segformer,15,0.5,0.0001,16,150,0.009040614536830357,0.9915408492088318,0.9835715755339591,0.9941055634442497,0.9792534112930298,0.9787764100198857,0.966827410998786,0.3247319459915161,0.6820644005581986,0.2534222542002652,0.3271181285381317,0.6897663923855025,0.2548067034985567,0.09064327485380116,0.39766081871345027,0.19554169476032257,0.5264453517120045,0.14600486032656843,0.19685891270637512,0.5340107294361469,0.1473908762717427,0.9669135212898254,0.9737943704481333,0.9394906124156687
2025-10-12-16-17-57-1530477,2025-10-12_16-17-57_1530477,2025-10-12_16-17-57_1530477,JaccardLoss,segformer,1,0.5,0.0001,4,150,0.0035813685825892855,0.9967976212501526,0.9938663359611265,0.9979533307692584,0.856355607509613,0.9006715766516012,0.6805583748593369,0.48573654890060425,0.8278412445992676,0.2743719442607161,0.4871789515018463,0.8309611256371388,0.27533741843858933,0.09064327485380116,0.39766081871345027,0.3220334053039551,0.7108070944946304,0.1596471225051538,0.36937445402145386,0.8599706590483143,0.2219731300741405,0.7153137922286987,0.8038448920674497,0.36248104178651747
2025-10-13-05-48-42-1535029,2025-10-13_05-48-42_1535029,2025-10-13_05-48-42_1535029,BCEWithLogitsLoss,deeplabv3_resnet50,1,0.5,0.0001,4,150,0.00023106166294642856,0.9983289241790771,0.9874292189075101,0.9989604108473834,0.6901876926422119,0.6826853581863039,0.7193691669723922,0.49136173725128174,0.5168547930498888,0.47490537082142026,0.4921269118785858,0.5220548329746421,0.4754221335258234,0.09064327485380116,0.39766081871345027,0.32637158036231995,0.35323017702028514,0.31183853837869957,0.6956709027290344,0.909701614218164,0.5181882694147049,0.3807303309440613,0.3660652188176629,0.4391768212959573
2025-10-13-05-48-42-1535030,2025-10-13_05-48-42_1535030,2025-10-13_05-48-42_1535030,BCEWithLogitsLoss,deeplabv3_resnet50,1,0.5,0.0001,8,150,9.669712611607143e-05,0.9982432126998901,0.9854792933310231,0.9990163971396053,0.6477364301681519,0.6312862419554127,0.7123314108223732,0.41649770736694336,0.39959782547181233,0.4805817791400563,0.4172287583351135,0.40480585903217026,0.4810654827968924,0.09064327485380116,0.39766081871345027,0.2636064887046814,0.25376588882564977,0.3167124568889928,0.7081653475761414,0.8752399232245681,0.5541199331810589,0.2957325279712677,0.26328981037989635,0.42503007164897233
2025-10-13-05-48-42-1535031,2025-10-13_05-48-42_1535031,2025-10-13_05-48-42_1535031,BCEWithLogitsLoss,deeplabv3_resnet50,1,0.5,0.0001,16,150,8.052280970982144e-05,0.998179018497467,0.984727305750693,0.9990055981804343,0.619404137134552,0.6044517488810647,0.6784468342913221,0.3575614094734192,0.3348596137415465,0.43475202346408215,0.3582460284233093,0.33957505228038243,0.4352258968967055,0.09064327485380116,0.39766081871345027,0.21820932626724243,0.2045109312207972,0.2781397621762502,0.7148706316947937,0.8983361018046679,0.5568691398287811,0.23901139199733734,0.20935634144741158,0.357198891271377
2025-10-13-05-48-42-1535032,2025-10-13_05-48-42_1535032,2025-10-13_05-48-42_1535032,BCEWithLogitsLoss,deeplabv3_resnet50,5,0.5,0.0001,4,150,0.0007238551548549107,0.997793972492218,0.9846313230452999,0.9988870059742647,0.6457265615463257,0.6262139106143632,0.7221926944013382,0.35926318168640137,0.3767657674254066,0.46110323946906073,0.3603079319000244,0.3825278718512842,0.4616595213545341,0.09064327485380116,0.39766081871345027,0.21974119544029236,0.23649734990432758,0.30010230359473666,0.46993115544319153,0.77597031391034,0.4797270625387695,0.29215535521507263,0.253828488944295,0.4449035092306888
2025-10-13-05-48-42-1535033,2025-10-13_05-48-42_1535033,2025-10-13_05-48-42_1535033,BCEWithLogitsLoss,deeplabv3_resnet50,5,0.5,0.0001,8,150,9.739467075892857e-05,0.9978635907173157,0.9815847335323211,0.9989505375132841,0.5206300616264343,0.5112040326851935,0.5582226618103855,0.07575613260269165,0.042866523286899216,0.19210394478104642,0.0760718584060669,0.04380634731992818,0.19240648405966027,0.09064327485380116,0.39766081871345027,0.03953986242413521,0.022393666015586722,0.10644344669468858,0.47351670265197754,0.8367097876494997,0.5511314455298627,0.04135807603597641,0.022491962469654223,0.11654725171277652
2025-10-13-05-48-42-1535034,2025-10-13_05-48-42_1535034,2025-10-13_05-48-42_1535034,BCEWithLogitsLoss,deeplabv3_resnet50,5,0.5,0.0001,16,150,6.007603236607143e-05,0.9978477358818054,0.9813875998220136,0.9989074538735783,0.508358895778656,0.5048929938504585,0.5222061099756917,0.03191322088241577,0.0189844309298437,0.08013333941530476,0.03209301829338074,0.01942314050658351,0.08032488843765495,0.09064327485380116,0.39766081871345027,0.016308199614286423,0.009806809775386087,0.041842959755977564,0.36744773387908936,0.8145731375747689,0.41376793967404524,0.016779262572526932,0.009828751394265468,0.0444798912190785
