join_key,experiment,experiment_date,model.loss,model.model_architecture,model.pos_weight,model.alpha,model.lr,dataloader.batch_size,training.max_epochs,metrics.FPR_no_plume,metrics.frac_total_easy,metrics.precision_easy,metrics.recall_easy,metrics.f1score_easy,metrics.iou_easy,metrics.accuracy_easy,metrics.cohen_kappa_easy,metrics.balanced_accuracy_easy,metrics.precision_hard,metrics.recall_hard,metrics.f1score_hard,metrics.iou_hard,metrics.accuracy_hard,metrics.cohen_kappa_hard,metrics.balanced_accuracy_hard,metrics.frac_total_hard,metrics.precision,metrics.recall,metrics.f1score,metrics.iou,metrics.accuracy,metrics.cohen_kappa,metrics.balanced_accuracy
2025-10-13-05-48-42-1535029,2025-10-13_05-48-42_1535029,2025-10-13_05-48-42_1535029,BCEWithLogitsLoss,deeplabv3_resnet50,1,0.5,0.0001,4,150,0.00023106166294642856,0.09064327485380116,0.909701614218164,0.3660652188176629,0.5220548329746421,0.35323017702028514,0.9874292189075101,0.5168547930498888,0.6826853581863039,0.5181882694147049,0.4391768212959573,0.4754221335258234,0.31183853837869957,0.9989604108473834,0.47490537082142026,0.7193691669723922,0.39766081871345027,0.6956709027290344,0.3807303309440613,0.4921269118785858,0.32637158036231995,0.9983289241790771,0.49136173725128174,0.6901876926422119
2025-10-13-05-48-42-1535030,2025-10-13_05-48-42_1535030,2025-10-13_05-48-42_1535030,BCEWithLogitsLoss,deeplabv3_resnet50,1,0.5,0.0001,8,150,9.669712611607143e-05,0.09064327485380116,0.8752399232245681,0.26328981037989635,0.40480585903217026,0.25376588882564977,0.9854792933310231,0.39959782547181233,0.6312862419554127,0.5541199331810589,0.42503007164897233,0.4810654827968924,0.3167124568889928,0.9990163971396053,0.4805817791400563,0.7123314108223732,0.39766081871345027,0.7081653475761414,0.2957325279712677,0.4172287583351135,0.2636064887046814,0.9982432126998901,0.41649770736694336,0.6477364301681519
2025-10-13-05-48-42-1535031,2025-10-13_05-48-42_1535031,2025-10-13_05-48-42_1535031,BCEWithLogitsLoss,deeplabv3_resnet50,1,0.5,0.0001,16,150,8.052280970982144e-05,0.09064327485380116,0.8983361018046679,0.20935634144741158,0.33957505228038243,0.2045109312207972,0.984727305750693,0.3348596137415465,0.6044517488810647,0.5568691398287811,0.357198891271377,0.4352258968967055,0.2781397621762502,0.9990055981804343,0.43475202346408215,0.6784468342913221,0.39766081871345027,0.7148706316947937,0.23901139199733734,0.3582460284233093,0.21820932626724243,0.998179018497467,0.3575614094734192,0.619404137134552
2025-10-13-05-48-42-1535032,2025-10-13_05-48-42_1535032,2025-10-13_05-48-42_1535032,BCEWithLogitsLoss,deeplabv3_resnet50,5,0.5,0.0001,4,150,0.0007238551548549107,0.09064327485380116,0.77597031391034,0.253828488944295,0.3825278718512842,0.23649734990432758,0.9846313230452999,0.3767657674254066,0.6262139106143632,0.4797270625387695,0.4449035092306888,0.4616595213545341,0.30010230359473666,0.9988870059742647,0.46110323946906073,0.7221926944013382,0.39766081871345027,0.46993115544319153,0.29215535521507263,0.3603079319000244,0.21974119544029236,0.997793972492218,0.35926318168640137,0.6457265615463257
2025-10-13-05-48-42-1535033,2025-10-13_05-48-42_1535033,2025-10-13_05-48-42_1535033,BCEWithLogitsLoss,deeplabv3_resnet50,5,0.5,0.0001,8,150,9.739467075892857e-05,0.09064327485380116,0.8367097876494997,0.022491962469654223,0.04380634731992818,0.022393666015586722,0.9815847335323211,0.042866523286899216,0.5112040326851935,0.5511314455298627,0.11654725171277652,0.19240648405966027,0.10644344669468858,0.9989505375132841,0.19210394478104642,0.5582226618103855,0.39766081871345027,0.47351670265197754,0.04135807603597641,0.0760718584060669,0.03953986242413521,0.9978635907173157,0.07575613260269165,0.5206300616264343
2025-10-13-05-48-42-1535034,2025-10-13_05-48-42_1535034,2025-10-13_05-48-42_1535034,BCEWithLogitsLoss,deeplabv3_resnet50,5,0.5,0.0001,16,150,6.007603236607143e-05,0.09064327485380116,0.8145731375747689,0.009828751394265468,0.01942314050658351,0.009806809775386087,0.9813875998220136,0.0189844309298437,0.5048929938504585,0.41376793967404524,0.0444798912190785,0.08032488843765495,0.041842959755977564,0.9989074538735783,0.08013333941530476,0.5222061099756917,0.39766081871345027,0.36744773387908936,0.016779262572526932,0.03209301829338074,0.016308199614286423,0.9978477358818054,0.03191322088241577,0.508358895778656
2025-10-13-05-48-42-1535035,2025-10-13_05-48-42_1535035,2025-10-13_05-48-42_1535035,BCEWithLogitsLoss,deeplabv3_resnet50,15,0.5,0.0001,4,150,0.00857879638671875,0.09064327485380116,0.6285411066224138,0.8238173348205499,0.7130513301776693,0.5540635356312303,0.987564702187815,0.7068133623764816,0.9072558897892555,0.1604160619254959,0.8670571622823074,0.2707416449608479,0.15656517961696823,0.9949896756340476,0.26941901808845914,0.9310921066311232,0.39766081871345027,0.19839127361774445,0.8324906229972839,0.320422500371933,0.19077566266059875,0.9924907088279724,0.31808042526245117,0.9126611948013306
2025-10-13-05-48-42-1535036,2025-10-13_05-48-42_1535036,2025-10-13_05-48-42_1535036,BCEWithLogitsLoss,deeplabv3_resnet50,15,0.5,0.0001,8,150,0.0003210667201450893,0.09064327485380116,0.6343104276790005,0.03464339610261794,0.06569860763746314,0.033965031456250724,0.9815203758978075,0.0638801733761113,0.5171308290153079,0.4653694060530128,0.3108101040740547,0.37270118997224966,0.2290305798023007,0.998877721674302,0.3721618378058682,0.655213340178028,0.39766081871345027,0.35325348377227783,0.09003839641809464,0.14350083470344543,0.07729647308588028,0.9977144002914429,0.14276033639907837,0.5448435544967651
2025-10-13-05-48-42-1535037,2025-10-13_05-48-42_1535037,2025-10-13_05-48-42_1535037,BCEWithLogitsLoss,deeplabv3_resnet50,15,0.5,0.0001,16,150,0.00038914271763392856,0.09064327485380116,0.6911963012906954,0.023541762351551736,0.045532706010748665,0.023296734691227363,0.981489489155431,0.04435202699115659,0.5116703676853982,0.46629276500280425,0.10870247371999373,0.17630468435227006,0.09667441860465116,0.998910483191995,0.17597048183981268,0.5542844360525916,0.39766081871345027,0.24234932661056519,0.040623754262924194,0.06958357244729996,0.03604589030146599,0.9976897835731506,0.06901514530181885,0.5201765894889832
2025-10-13-05-48-42-1535038,2025-10-13_05-48-42_1535038,2025-10-13_05-48-42_1535038,JaccardLoss,deeplabv3_resnet50,1,0.5,0.0001,4,150,0.005504477364676339,0.09064327485380116,0.7007307744403093,0.7128272423069353,0.7067272508464764,0.5464641942769191,0.9889045223113029,0.7010729659509308,0.8535042478284312,0.24279663669177326,0.6085978766800899,0.3471140939597315,0.2100048725028423,0.9975442325367647,0.3461113382233545,0.8032798820549033,0.39766081871345027,0.2620407044887543,0.6919203400611877,0.3801230788230896,0.23466168344020844,0.995201051235199,0.37820494174957275,0.8438838720321655
